seller_id,n_orders,n_ontime_reviewed,n_late_reviewed,overall_low_rate,avg_review,ontime_low_rate,late_low_rate,late_delivery_rate,avg_delay_vs_estimate,avg_delivery_days,cross_state_share,dominant_category,dominant_category_share,n_distinct_categories,dominant_customer_state,failure_type,low_rating_orders
891071be6ba827b591264c90c2ae8a63,84,69,15,0.19047619047619047,3.988095238095238,0.13043478260869565,0.4666666666666667,0.17857142857142858,-10.500395585317461,13.807456872795415,0.5714285714285714,fashion_bags_accessories,0.4642857142857143,9,SP,Type 1 - Delivery-Driven,16.0
fd386aa7bed2af3c7035c65506c9b4a3,66,59,7,0.15151515151515152,4.318181818181818,0.0847457627118644,0.7142857142857143,0.10606060606060606,-8.59323705808081,8.437841435185184,0.5151515151515151,stationery,0.2878787878787879,14,SP,Type 1 - Delivery-Driven,10.0
609e1a9a6c2539919b8205cf7c4e6ff0,82,81,1,0.1951219512195122,3.8658536585365852,0.19753086419753085,0.0,0.012195121951219513,-16.57483386969286,9.903953675474256,0.9512195121951219,bed_bath_table,0.975609756097561,3,SP,Type 2 - Intrinsic,16.0
897060da8b9a21f655304d50fd935913,299,266,33,0.23076923076923078,3.722408026755853,0.19172932330827067,0.5454545454545454,0.11036789297658862,-9.500772056546513,14.561163562182585,0.5652173913043478,computers_accessories,0.9632107023411371,3,SP,Type 3 - Mixed,69.0
a49928bcdf77c55c6d6e05e09a9b4ca5,94,69,25,0.39361702127659576,3.0638297872340425,0.2753623188405797,0.72,0.26595744680851063,-3.4766160608747043,17.14710832840819,0.5106382978723404,toys,0.851063829787234,3,SP,Type 3 - Mixed,37.0
25c5c91f63607446a97b143d2d535d31,147,137,10,0.16326530612244897,3.9523809523809526,0.145985401459854,0.4,0.06802721088435375,-10.984747023809524,14.483895502645503,0.8639455782312925,computers_accessories,0.9727891156462585,1,SP,Type 2 - Intrinsic,24.0
23613d49c3ac2bd302259e55c06c050c,65,55,10,0.23076923076923078,3.876923076923077,0.18181818181818182,0.5,0.15384615384615385,-10.123893340455842,14.150743589743591,0.49230769230769234,furniture_decor,0.9230769230769231,1,SP,Type 3 - Mixed,15.0
822166ed1e47908f7cfb49946d03c726,66,65,1,0.18181818181818182,4.015151515151516,0.16923076923076924,1.0,0.015151515151515152,-12.381295244107745,12.783591470258138,0.7424242424242424,bed_bath_table,0.9545454545454546,3,SP,Type 2 - Intrinsic,12.0
c33847515fa6305ce6feb1e818569f13,110,105,5,0.2,3.890909090909091,0.18095238095238095,0.6,0.045454545454545456,-15.010034301346803,9.358242003367003,0.9363636363636364,bed_bath_table,0.990909090909091,2,SP,Type 2 - Intrinsic,22.0
5058e8c1e82653974541e83690655b4a,60,52,8,0.3,3.283333333333333,0.2692307692307692,0.5,0.13333333333333333,-15.160004436728396,26.70773321759259,0.55,office_furniture,0.7166666666666667,4,SP,Type 3 - Mixed,18.0
f46490624488d3ff7ce78613913a7711,80,70,10,0.2375,3.7625,0.21428571428571427,0.4,0.125,-8.122246961805555,10.25233666087963,0.5,health_beauty,1.0,1,SP,Type 3 - Mixed,19.0
a17f621c590ea0fab3d5d883e1630ec6,59,54,5,0.15254237288135594,4.135593220338983,0.12962962962962962,0.4,0.0847457627118644,-9.287581018518518,11.807894695543,0.5084745762711864,sports_leisure,0.9830508474576272,2,SP,Type 1 - Delivery-Driven,9.0
7d13fca15225358621be4086e1eb0964,552,484,68,0.16847826086956522,4.054347826086956,0.08884297520661157,0.7352941176470589,0.12318840579710146,-10.092627356749865,15.753280411298979,0.6485507246376812,watches_gifts,0.875,7,SP,Type 1 - Delivery-Driven,93.0
c3867b4666c7d76867627c2f7fb22e21,223,197,26,0.15246636771300448,4.089686098654709,0.06091370558375635,0.8461538461538461,0.11659192825112108,-9.020978035210097,15.539161736007308,0.5426008968609866,sports_leisure,1.0,1,SP,Type 1 - Delivery-Driven,34.0
522620dcb18a6b31cd7bdf73665113a9,168,151,17,0.18452380952380953,3.9226190476190474,0.11920529801324503,0.7647058823529411,0.10119047619047619,-13.228552276234568,15.345670951829804,0.9226190476190477,consoles_games,0.5238095238095238,11,SP,Type 1 - Delivery-Driven,31.0
